ID;Name;Price;qty_stock
1;AZEITE  PORTUGUÊS EXTRA VIRGEM GALLO 500ML;20.49;2
2;BEBIDA ENERGÉTICA VIBE 2L;8.99;659
3;ENERGÉTICO RED BULL ENERGY DRINK 250ML;7.29;909
4;ENERGÉTICO RED BULL ENERGY DRINK 355ML;10.79;159
5;ENERGÉTICO RED BULL ENERGY DRINK SEM AÇÚCAR 250ML;7.49;659
6;ÁGUA MINERAL BONAFONT SEM GÁS 1;2.39;909
7;FILME DE PVC WYDA 28CMX15M;3.99;160
8;FILME DE PVC PRATSY 15M;4.39;410
9;ROLO DE PAPEL ALUMÍNIO WYDA 30CMX7;5.79;660
10;ÁGUA MINERAL SEM GÁS MINALBA 1;2.29;910
11;GUARDANAPO GRAND HOTEL SCOTT 24X24CM C/ 50UN;4.39;160
12;GUARDANAPO DIA A DIA SCOTT 24X22CM C/ 50UN;2.59;411
13;GUARDANAPO FOLHA DUPLA SNOB 23;4.25;411
14;GUARDANAPO FOLHA SIMPLES SNOB 24X22CM C/ 50UN;2.19;661
15;PAPEL TOALHA SNOB C/ 2UN;5.39;912
16;TOALHA DE PAPEL SCOTT DURAMAX C/ 1UN;11.29;162
17;PRATO DESCARTÁVEL COPOBRAS 18CM;1.99;163
18;PRATO DESCARTÁVEL COPOBRAS 15CM;2.90;413
19;PRATO DESCARTÁVEL COPOBRAS 21CM;3.79;913
20;COLHER DESCARTÁVEL MASTER PRAFESTA BRANCA C/ 50UN;5.99;413
21;GARFO DESCARTÁVEL MASTER PRAFESTA CRYSTAL C/ 50UN;7.49;914
22;FACA DESCARTÁVEL MASTER PRAFESTA CRYSTAL C/ 50UN;8.99;3
23;SACO PARA LIXO DOVER ROLL SUPER FORTE AZUL 50L C/ 30UN;42.90;915
24;PANO PARA LIMPEZA PERFEX C/ 5UN;6.99;415
25;PANO PARA LIMPEZA ALKLIN C/ 5UN;4.79;665
26;VELA SANTA CRUZ BRANCA C/8 25G;5.89;915
27;VELA SANTA CRUZ C/8 30G;6.89;416
28;BEBIDA DE SOJA SOYOS SÚFRESH LARANJA E CENOURA 1L;4.99;666
29;BEBIDA A BASE DE SOJA ADES LARANJA 1L;5.39;916
30;BEBIDA A BASE DE SOJA ADES MAÇÃ 1L;5.59;166
31;BEBIDA À BASE DE SOJA ADES MAÇÃ ZERO 1L;7.39;416
32;BEBIDA À BASE DE SOJA ADES LARANJA ZERO 1L;7.39;667
33;CREME DE TRATAMENTO ELSEVE ULTRA LISO 300G;16.99;417
34;CREME DE TRATAMENTO ELSEVE OLÉO EXTRAORDINÁRIO 300G;18.99;667
35;DESODORANTE ROLL ON DOVE ORIGINAL 50ML;10.49;669
36;DESODORANTE ROLL ON DOVE SENSITIVE SEM PERFUME 50ML;10.74;919
37;DESODORANTE AEROSOL DOVE BEAUTY 150ML;14.99;169
38;DESODORANTE AEROSOL DOVE PURE 100G;13.19;419
39;REFRIGERANTE ANTARCTICA GUARANÁ 2L;6.79;670
40;ÁGUA MINERAL SEM GÁS CRYSTAL GARRAFÃO 5L;7.99;920
41;REFRIGERANTE H2OH! DE LIMÃO 500ML;3.90;670
42;DESODORANTE AEROSOL NIVEA SENSITIVE SEM PERFUME 150ML;11.99;171
43;REFRIGERANTE H2OH! LIMÃO 1;6.99;921
44;DESODORANTE AEROSOL NIVEA BLACK&WHITE INVISIBLE MASCULINO 150ML;11.99;171
45;ÁGUA MINERAL PRATA SEM GÁS 1;3.90;172
46;NÉCTAR MAGUARY DE MARACUJÁ 1L;4.49;672
47;REFRIGERANTE ANTARCTICA GUARANÁ ZERO 2L;5.79;923
48;ÁGUA MINERAL SEM GÁS CRYSTAL PET 1;2.59;173
49;ÁGUA MINERAL BONAFONT SEM GÁS 500ML;1.75;423
50;DESODORANTE AEROSOL REXONA ANTIBACTERIANO + INVISIBLE PROTECTION FEMININO 150ML;11.99;673
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
